Type,FiscalYear,OperationID,StartDate1,EndDate1,StartDate2,EndDate2,InProgressDate,Cost,CostCalculated,ApproxPageNumber,Appendix,Offset,FileVolume,FilePart
Operation,1908,14619102803979235,,,,,,,no,1006,Yes,3528644,,I
Operation,1908,14619102803979238,,,,,,,no,1006,Yes,3528685,,I
Operation,1908,14619102803978819,,,,,,,no,245,No,847578,,I
Operation,1908,14619102803979240,,,,,,,no,1006,Yes,3528843,,I
Operation,1908,14619102803978812,,,,,,,no,241,No,836081,,I
Operation,1908,14619102803979226,"December 26, 1907","December 26, 1907",,,,,no,1004,Yes,3518256,,I
Operation,1908,14619102803979228,,,,,,,no,1004,Yes,3518591,,I
Operation,1908,14619102803978809,,,,,,,no,241,No,835950,,I
Operation,1908,14619102803979230,,,,,,,no,1004,Yes,3519591,,I
Operation,1908,14619102803979233,,,,,,,no,1004,Yes,3520133,,I
Operation,1908,14619102803978837,,,,,,,no,252,No,874871,,I
Operation,1908,14619102803979251,,,,,,,no,1027,Yes,3618839,,I
Operation,1908,14619102803979253,,,,,,,no,1027,Yes,3619208,,I
Operation,1908,14619102803978833,,,,,,,no,251,No,870426,,I
Operation,1908,14619102803979255,,,,,,,no,2-11,Yes,3664880,,I
Operation,1908,14619102803979257,,,,,,,no,1041,Yes,3670048,,I
Operation,1908,14619102803979243,,,,,,,no,1008,Yes,3534337,,I
Operation,1908,14619102803979245,,,,,,,no,1018,Yes,3575480,,I
Operation,1908,14619102803979247,,,,,,,no,1063,Yes,3601068,,I
Operation,1908,14619102803979249,,,,,,,no,1025,Yes,3610926,,I
Operation,1908,14619102803978853,,,,,,,no,258,No,894540,,I
Operation,1908,14619102803978855,,,,,,,no,277,No,956880,,I
Operation,1908,14619102803979204,,,,,,,no,993,Yes,3487381,,I
Operation,1908,14619102803978849,,,,,,,no,257,No,889993,,I
Operation,1908,14619102803979206,"June 17, 1908","June 17, 1908",,,,,no,993,Yes,3487878,,I
Operation,1908,14619102803979209,,,,,,,no,994,Yes,3489751,,I
Operation,1908,14619102803979195,,,,,,,no,988,Yes,3471592,,I
Operation,1908,14619102803979197,,,,,,,no,,Yes,3476027,,I
Operation,1908,14619102803978841,,,,,,,no,254,No,879519,,I
Operation,1908,14619102803979199,,,,,,,no,992,Yes,3483940,,I
Operation,1908,14619102803979201,"July 31, 1907","September 19, 1907",,,,,no,992,Yes,3484294,,I
Operation,1908,14619102803978842,,,,,,,no,254,No,879550,,I
Operation,1908,14619102803979220,,"November 1, 1907",,,,,no,1000,Yes,3506673,,I
Operation,1908,14619102803979222,,,,,,,no,,Yes,3509333,,I
Operation,1908,14619102803979224,,,,,,,no,1003,Yes,3516606,,I
Operation,1908,14619102803979211,,,,,,,no,998,Yes,3496594,,I
Operation,1908,14619102803979213,,,,,,,no,998,Yes,3496711,,I
Operation,1908,14619102803979215,,,,,,,no,998,Yes,3496898,,I
