Type,FiscalYear,WorkPeriod,StatedDistrict,PresentDayDistrict,ProjectDistrict,ProjectName,PlacementLocation,RemovedFromNavPath,VolumePlaced,VolumePlacedUnit,MeasurementType,WeightPlaced,WeightPlacedUnit,MaterialPlaced,WorkType,OperationID,DistrictID,ProjectID,ApproxPageNumber,Appendix,Offset,FileVolume,FilePart
Placement,1908,,San Francisco District,San Francisco District,,"Columbia River between the foot of The Dalles Rapids and the head of Celilo Falls, Oregon and Washington.",,entire canal,"14,746",cubic yards,,,,concrete,,14619102803979072,14619102803941001,14619102803940428,812,No,2842595,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,Wilmington District,Wilmington District,,FLATS AND RECLAIMED AREA,,,"1,674",cubic yards,,,,,,14619102803979584,14619102803941493,14619102803940835,1215,Yes,4355042,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,Baltimore District,Baltimore District,,"Anacostia River, District of Columbia.",wall,,"12,174",cubic yards,,,,,,14619102803978818,14619102803940901,14619102803940099,245,No,847578,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,San Francisco District,San Francisco District,,"Columbia River between the foot of The Dalles Rapids and the head of Celilo Falls, Oregon and Washington.",,entire canal,"1,299",cubic yards,,,,riprap,,14619102803979072,14619102803941001,14619102803940428,812,No,2842627,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,San Francisco District,San Francisco District,,"Columbia River between the foot of The Dalles Rapids and the head of Celilo Falls, Oregon and Washington.",,entire canal,,,,"45,873",pounds,reenforcing rods,,14619102803979072,14619102803941001,14619102803940428,812,No,2842659,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,San Francisco District,San Francisco District,,SACRAMENTO RIVER,,,,,,"22,840",tons,rock,,14619102803979068,14619102803941001,14619102803940577,801,No,2799764,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,During Fiscal Year,Wilmington District,Wilmington District,,FLATS AND RECLAIMED AREA,,,"7,374",cubic yards,,,,ripran,,14619102803979580,14619102803941493,14619102803940835,1215,Yes,4354167,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,Baltimore District,Baltimore District,,"Potomac River at Washington, D. C.",,navigation channel,"600,000",cubic yards,,,,,,14619102803978811,14619102803940901,14619102803940097,241,No,836081,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,Wilmington District,Wilmington District,,FLATS AND RECLAIMED AREA,,,"8,652",cubic yards,,,,,,14619102803979582,14619102803941493,14619102803940835,1215,Yes,4354895,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,During Fiscal Year,Newport District,New England District,,AMOUNTS APPROPRIATED,,,,,,"42,192.40",tons,stone,,14619102803979197,14619102803941185,14619102803940702,,Yes,3476003,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,,Baltimore District,Baltimore District,,"Potomac River at Washington, D. C.",,navigation channel,"14,064,616",cubic yards,,,,,,14619102803978808,14619102803940901,14619102803940097,241,No,835950,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,During Fiscal Year,Wilmington District,Wilmington District,,"Rappahannock River, Virginia.",wall,Potomac River,658,cubic yards,,,,,,14619102803979576,14619102803941493,14619102803939969,1215,Yes,4353623,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,During Fiscal Year,Wilmington District,Wilmington District,,FLATS AND RECLAIMED AREA,,,"4,142",cubic yards,,,,,,14619102803979578,14619102803941493,14619102803940835,1215,Yes,4353982,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
Placement,1908,During Fiscal Year,Dallas District,Galveston District,,SABINE RIVER,,,,,,"62,901.53",tons,riprap stone,,14619102803978937,14619102803940935,14619102803940532,478,No,1668237,C:\Users\jwullert\Documents\Projects\Government\ArmyCorp\Task2_Extraction\Version2\Version2_Data+Results\Final2\Results\Placement_1908_PartI.csv,I
